threshold,model1_acc,model2_acc,model3_acc,avg_acc
0.0,50.0,50.0,50.0,50.0
0.05,54.55,50.0,40.91,50.0
0.1,54.55,50.0,40.91,50.0
0.15,54.55,54.55,40.91,50.0
0.2,54.55,54.55,40.91,50.0
0.25,54.55,54.55,36.36,50.0
0.3,54.55,54.55,36.36,54.55
0.35,50.0,54.55,31.82,59.09
0.4,50.0,54.55,31.82,59.09
0.45,50.0,54.55,31.82,54.55
0.5,50.0,54.55,31.82,54.55
0.55,50.0,54.55,31.82,59.09
0.6,50.0,54.55,31.82,59.09
0.65,54.55,54.55,31.82,59.09
0.7,59.09,54.55,31.82,40.91
0.75,59.09,54.55,31.82,36.36
0.8,59.09,54.55,31.82,31.82
0.85,59.09,54.55,31.82,31.82
0.9,59.09,54.55,31.82,31.82
0.95,59.09,54.55,31.82,31.82
1.0,36.36,54.55,40.91,45.45
